text	qtype	construct
This organization is driven by its stated mission.	likert	purpose
This organization is Christ-centered.	likert	purpose
I clearly understand how diversity fits into the school's mission.	likert	purpose
Encouraging diversity is important	likert	purpose
I feel like I belong among my colleagues.	likert	belonging
I have to work hard to fit in with my colleagues.	likert	belonging
I frequently witness discrimination or bullying on campus	likert	belonging
Extra-curricular activities are structured so all students can participate.	likert	belonging
"This could is described as ""Healthy"" "	likert	fairness
"When I have concerns, I’m comfortable speaking about them leadership."	likert	fairness
The school is able to fix things when needed.	likert	fairness
"If discrimination were to occur, the school administrators would effectively address it. "	likert	fairness
Chapel encourages students to engage the Christian faith cross-culturally. 	likert	faith
Students study faithful Christians from various American cultures and around the world in classes.	likert	faith
The school regularly has Christian role models from various cultures on campus as employees or guests.	likert	faith
The school provides off campus opportunities for students to serve under leaders of various ethnic backgrounds	likert	faith
The school provides resources for me to expand teaching materials.	likert	opportunities
The school provides development opportunities for a multicultural learning environment.	likert	opportunities
"When new programs are started, follow-up occurs to ensure its success."	likert	opportunities
"I regularly attend school-sponsored events (sporting events, student performances, social events, etc.)"	likert	opportunities
School rules and policies are culturally unbiased.	likert	leadership
"I feel comfortable discussing my feelings, worries, and frustrations with my supervisor."	likert	leadership
School rules are implemented consistently despite a student’s cultural background.	likert	leadership
School rules are implemented consistently despite a student’s cultural background.	likert	leadership
Please Describe any harassment incident you've experienced while at school or at any school function	open	fairness
